Pcode,Locality,State,Comments,DeliveryOffice,PreSortIndicator,ParcelZone,BSPnumber,BSPname,Category
200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,,AUSTRALIAN NATIONAL UNI LPO,150,N2,19,CANBERRA,Post Office Boxes
221,BARTON,ACT,LVR,CANBERRA SOUTH DC,150,N2,19,CANBERRA,LVR
800,DARWIN,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
801,DARWIN,NT,GPO BOXES,DARWIN GPO DELIVERY ANNEXE,85,NT1,1,DARWIN,Post Office Boxes
803,WAGAIT BEACH,NT,PO BOXES,WAGAIT STORE CPA,85,NT1,1,DARWIN,Post Office Boxes
804,PARAP,NT,PO BOXES,PARAP LPO,85,NT1,1,DARWIN,Post Office Boxes
810,ALAWA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,BRINKIN,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,CASUARINA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,COCONUT GROVE,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,JINGILI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,LEE POINT,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,LYONS,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,MILLNER,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,MOIL,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,MUIRHEAD,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,NAKARA,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,NIGHTCLIFF,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,RAPID CREEK,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,TIWI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,WAGAMAN,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
810,WANGURI,NT,,DARWIN DELIVERY CENTRE,85,NT1,1,DARWIN,Delivery Area
811,CASUARINA,NT,PO BOXES,CASUARINA DELIVERY ANNEXE,85,NT1,1,DARWIN,Post Office Boxes
